"Scan Results","01/09/2019 at 15:50:33 (GMT)"
"First Base Technologies","King Business Centre Reeds Lane, Sayers Common","High Street","Hassocks","None","United Kingdom","BN6 9LS"
"Mark Rose","frstb-mr","Manager"
"Launch Date","Client","Active Hosts","Total Hosts","Type","Status","Reference","Scanner Appliance","Duration","Scan Title","Asset Groups","IPs","Excluded IPs","Option Profile"
"01/08/2019 at 10:21:33 (GMT)","First Base","20","29","On-demand (default option profile)","Finished","scan/1546942893.27199","64.39.102.104 (Scanner 10.5.59-1, Vulnerability Signatures 2.4.504-2)","01:23:14","FB04255 CP03387 Origen",,"31.24.217.103, 81.143.201.108, 87.224.92.162-87.224.92.167, 87.224.92.169-87.224.92.173, 87.224.92.184, 87.224.92.190, 87.224.103.106, 95.175.199.182, 109.238.74.74, 185.91.130.20, 217.68.244.49, 217.68.244.53, 217.68.247.177-217.68.247.178, 217.68.247.180-217.68.247.184, 217.68.247.187",,"Initial Options"
"IP","DNS","NetBIOS","OS","IP Status","QID","Title","Type","Severity","Port","Protocol","FQDN","SSL","CVE ID","Vendor Reference","Bugtraq ID","Threat","Impact","Solution","Exploitability","Associated Malware","Results","PCI Vuln","Instance","Category"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","42017","Remote Access or Management Service Detected","Ig","3",,,,,,,,"A remote access or remote management service was detected. If such a service is accessible to malicious users it can be used to carry different type of attacks. Malicious users could try to brute force credentials or collect additional information on the service which could enable them in crafting further attacks. 
The Results section includes information on the remote access service that was found on the target.
Services like Telnet, Rlogin, SSH, windows remote desktop, pcAnywhere, Citrix Management Console, Remote Admin (RAdmin), VNC, OPENVPN and ISAKMP are checked.","Consequences vary by the type of attack.","Expose the remote access or remote management services only to the system administrators or intended users of the system.",,,"Service name: SNMP on UDP port 161.
Service name: ISAKMP on UDP port 500.","no",,"General remote services"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","6","DNS Host Name","Ig","1",,,,,,,,"The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.","N/A","N/A",,,"IP address	Host name
95.175.199.182	host95-175-199-182.ipv4.regusnet.com","no",,"Information gathering"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","34011","Firewall Detected","Ig","1",,,,,,,,"A packet filtering device protecting this IP was detected. This is likely to be a firewall or a router using access control lists (ACLs).",,,,,"Firewall responded to TCP probes sent to port 2869 with RST packets (hopcount to firewall 15 vs hopcount to target 16).","no",,"Firewall"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","45005","Internet Service Provider","Ig","1",,,,,,,,"The information shown in the Result section was returned by the network infrastructure responsible for routing traffic from our cloud platform to the target network (where the scanner appliance is located). 
 This information was returned from: 1) the WHOIS service, or 2) the infrastructure provided by the closest gateway server to our cloud platform. If your ISP is routing traffic, your ISP's gateway server returned this information.","This information can be used by malicious users to gather more information about the network infrastructure that may aid in launching further attacks against it.","N/A",,,"The ISP network handle is: COLT-GB-LON-WAN
ISP Network description:
COLT-UK-WAN-108-2","no",,"Information gathering"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","45006","Traceroute","Ig","1",,,,,,,,"Traceroute describes the path in realtime from the scanner to the remote host being contacted. It reports the IP addresses of all the routers in between.",,,,,"Hops	IP	Round Trip Time	Probe	Port
1	64.39.102.10	0.41ms	ICMP	 
2	195.21.22.201	0.28ms	ICMP	 
3	84.233.208.17	5.31ms	ICMP	 
4	84.233.208.25	8.91ms	ICMP	 
5	77.67.95.73	9.12ms	ICMP	 
6	141.136.111.161	8.31ms	ICMP	 
7	213.248.81.29	9.37ms	ICMP	 
8	62.115.122.10	9.38ms	ICMP	 
9	62.115.122.139	14.19ms	ICMP	 
10	62.115.120.6	14.26ms	ICMP	 
11	213.248.94.95	13.85ms	ICMP	 
12	212.74.70.235	24.20ms	ICMP	 
13	212.74.70.235	23.85ms	ICMP	 
14	80.169.45.50	35.61ms	ICMP	 
15	90.152.0.74	35.87ms	ICMP	 
16	95.175.199.182	36.11ms	TCP	80","no",,"Information gathering"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","45038","Host Scan Time","Ig","1",,,,,,,,"The Host Scan Time is the period of time it takes the scanning engine to perform the vulnerability assessment of a single target host. The Host Scan Time for this host is reported in the Result section below. 
The Host Scan Time does not have a direct correlation to the Duration time as displayed in the Report Summary section of a scan results report. The Duration is the period of time it takes the service to perform a scan task. The Duration includes the time it takes the service to scan all hosts, which may involve parallel scanning. It also includes the time it takes for a scanner appliance to pick up the scan task and transfer the results back to the service's Secure Operating Center. Further, when a scan task is distributed across multiple scanners, the Duration includes the time it takes to perform parallel host scanning on all scanners.
For host running the Qualys Windows agent this QID reports the time taken by the agent to collect the host metadata used for the most recent assessment scan.","N/A","N/A",,,"Scan duration: 696 seconds
Start time: Tue, Jan 08 2019, 10:21:56 GMT
End time: Tue, Jan 08 2019, 10:33:32 GMT","no",,"Information gathering"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","45039","Host Names Found","Ig","1",,,,,,,,"The following host names were discovered for this computer using various methods such as DNS look up, NetBIOS query, and SQL server name query.","N/A","N/A",,,"Host Name	Source
host95-175-199-182.ipv4.regusnet.com	FQDN","no",,"Information gathering"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","82004","Open UDP Services List","Ig","1",,,,,,,,"A port scanner was used to draw a map of all the UDP services on this host that can be accessed from the Internet.
Note that if the host is behind a firewall, there is a small chance that the list includes a few ports that are filtered or blocked by the firewall but are not actually open on the target host. This (false positive on UDP open ports) may happen when the firewall is configured to reject UDP packets for most (but not all) ports with an ICMP Port Unreachable packet. This may also happen when the firewall is configured to allow UDP packets for most (but not all) ports through and filter/block/drop UDP packets for only a few ports. Both cases are uncommon.","Unauthorized users can exploit this information to test vulnerabilities in each of the open services.","Shut down any unknown or unused service on the list.  If you have difficulty working out which service is provided by which process or program, contact your provider's support team.  For more information about commercial and open-source Intrusion Detection Systems available for detecting port scanners of this kind, visit the CERT Web site (http://www.cert.org).",,,"Port	IANA Assigned Ports/Services	Description	Service Detected
161	snmp	SNMP	snmp
500	isakmp	isakmp	isakmp","no",,"TCP/IP"
"95.175.199.182","host95-175-199-182.ipv4.regusnet.com",,,"host scanned, found vuln","82040","ICMP Replies Received","Ig","1",,,,,,,,"ICMP (Internet Control and Error Message Protocol) is a protocol encapsulated in IP packets. ICMP's principal purpose is to provide a protocol layer that informs gateways of the inter-connectivity and accessibility of other gateways or hosts. 
We have sent the following types of packets to trigger the host to send us ICMP replies: 
Echo Request (to trigger Echo Reply) 
Timestamp Request (to trigger Timestamp Reply) 
Address Mask Request (to trigger Address Mask Reply) 
UDP Packet (to trigger Port Unreachable Reply) 
IP Packet with Protocol >= 250 (to trigger Protocol Unreachable Reply)
Listed in the ""Result"" section are the ICMP replies that we have received.",,,,,"ICMP Reply Type	Triggered By	Additional Information
Unreachable (type=3 code=4)	Fragmented IP Packet	Fragmentation Needed","no",,"TCP/IP"
"87.224.92.184","87-224-92-184.spitfireuk.net",,"Windows 2000 / Windows XP / Windows 2003","host scanned, found vuln","38628","SSL/TLS Server supports TLSv1.0","Vuln","3","443","tcp",,"over ssl",,,,"TLS is capable of using a multitude of ciphers (algorithms) to create the public and private key pairs. 
For example if TLSv1.0 uses either the RC4 stream cipher, or a block cipher in CBC mode. 
RC4 is known to have biases and the block cipher in CBC mode is vulnerable to the POODLE attack. 
TLSv1.0, if configured to use the same cipher suites as SSLv3, includes a means by which a TLS implementation can downgrade the connection to SSL v3.0, thus weakening security. 
A POODLE-type (https://blog.qualys.com/ssllabs/2014/12/08/poodle-bites-tls) attack could also be launched directly at TLS without negotiating a downgrade. 
  This QID is an automatic PCI FAIL in accordance with the PCI standards.  
Further details can be found under:  
PCI: ASV Program Guide v3.1 (page 27) (https://www.pcisecuritystandards.org/documents/ASV_Program_Guide_v3.1.pdf) 
PCI: Use of SSL Early TLS and ASV Scans (https://www.pcisecuritystandards.org/documents/Use-of-SSL-Early-TLS-and-ASV-Scans.pdf)","An attacker can exploit cryptographic flaws to conduct man-in-the-middle type attacks or to decryption communications. 
For example: An attacker could force a downgrade from the TLS protocol to the older SSLv3.0 protocol and exploit the POODLE vulnerability, read secure communications or maliciously modify messages. 
A POODLE-type (https://blog.qualys.com/ssllabs/2014/12/08/poodle-bites-tls) attack could also be launched directly at TLS without negotiating a downgrade.","Disable the use of TLSv1.0 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1
If the test is successful, then the target support TLSv1",,,"TLSv1.0 is supported","yes",,"General remote services"
